Deal Unique Id,"From Currency ISO Code ""Ordering Currency""",To Currency ISO Code,Deal Timestamp,Deal Amount in Ordering Currency
1,AFN,ZWD,17/02/2015 01:18:15,100
2,EUR,ZMW,17/02/2015 01:18:15,100
3,ALL,ZAR,17/02/2015 01:18:15,100
4,DZD,YER,17/02/2015 01:18:15,100
5,USD,XPF,17/02/2015 01:18:15,100
6,EUR,XOF,17/02/2015 01:18:15,100
7,AOA,XDR,17/02/2015 01:18:15,100
8,XCD,XCD,17/02/2015 01:18:15,100
9,,XAF,17/02/2015 01:18:15,100
10,XCD,WST,17/02/2015 01:18:15,100
11,ARS,VUV,17/02/2015 01:18:15,100
12,AMD,VND,17/02/2015 01:18:15,100
13,AWG,VEF,17/02/2015 01:18:15,100
14,AUD,UZS,17/02/2015 01:18:15,100
15,EUR,UYU,17/02/2015 01:18:15,100
16,AZN,USD,17/02/2015 01:18:15,100
17,BSD,UGX,17/02/2015 01:18:15,100
18,BHD,UAH,17/02/2015 01:18:15,100
19,BDT,TZS,17/02/2015 01:18:15,100
20,BBD,TWD,17/02/2015 01:18:15,100
21,BYN,TVD,17/02/2015 01:18:15,100
22,EUR,TTD,17/02/2015 01:18:15,100
23,BZD,TRY,17/02/2015 01:18:15,100
24,XOF,TOP,17/02/2015 01:18:15,100
25,BMD,TND,17/02/2015 01:18:15,100
26,INR,TMT,17/02/2015 01:18:15,100
27,BTN,TJS,17/02/2015 01:18:15,100
28,BOB,THB,17/02/2015 01:18:15,100
29,BOV,SZL,17/02/2015 01:18:15,100
30,USD,SYP,17/02/2015 01:18:15,100
31,BAM,SVC,17/02/2015 01:18:15,100
32,BWP,STD,17/02/2015 01:18:15,100
33,NOK,SRD,17/02/2015 01:18:15,100
34,BRL,SPL*,17/02/2015 01:18:15,100
35,USD,SOS,17/02/2015 01:18:15,100
36,BND,SLL,17/02/2015 01:18:15,100
37,BGN,SHP,17/02/2015 01:18:15,100
38,XOF,SGD,17/02/2015 01:18:15,200
39,BIF,SEK,17/02/2015 01:18:15,200
40,CVE,SDG,17/02/2015 01:18:15,200
41,KHR,SCR,17/02/2015 01:18:15,200
42,XAF,SBD,17/02/2015 01:18:15,200
43,CAD,SAR,17/02/2015 01:18:15,200
44,KYD,RWF,17/02/2015 01:18:15,200
45,XAF,RUB,17/02/2015 01:18:15,200
46,XAF,RSD,17/02/2015 01:18:15,200
47,CLP,RON,17/02/2015 01:18:15,200
48,CLF,QAR,17/02/2015 01:18:15,200
49,CNY,PYG,17/02/2015 01:18:15,200
50,AUD,PLN,17/02/2015 01:18:15,200
51,AUD,PKR,17/02/2015 01:18:15,200
52,COP,PHP,17/02/2015 01:18:15,200
53,COU,PGK,17/02/2015 01:18:15,200
54,KMF,PEN,17/02/2015 01:18:15,200
55,CDF,PAB,17/02/2015 01:18:15,200
56,XAF,OMR,17/02/2015 01:18:15,200
57,NZD,NZD,17/02/2015 01:18:15,200
58,CRC,NPR,17/02/2015 01:18:15,200
59,XOF,NOK,17/02/2015 01:18:15,200
60,HRK,NIO,17/02/2015 01:18:15,200
61,CUP,NGN,17/02/2015 01:18:15,200
62,CUC,NAD,17/02/2015 01:18:15,200
63,ANG,MZN,17/02/2015 01:18:15,200
64,EUR,MYR,17/02/2015 01:18:15,200
65,CZK,MXN,17/02/2015 01:18:15,200
66,DKK,MWK,17/02/2015 01:18:15,200
